"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",976.95,"bereinigt"
"2020-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",69.22,"bereinigt"
"2020-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.95,"bereinigt"
"2020-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.58,"bereinigt"
"2020-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",979.81,"bereinigt"
"2020-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",5.94,"bereinigt"
"2020-01-12T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.86,"bereinigt"
"2020-01-12T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-12T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",977.4,"bereinigt"
"2020-01-12T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.07,"bereinigt"
"2020-01-13T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.8,"bereinigt"
"2020-01-13T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-13T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.61,"bereinigt"
"2020-01-13T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",51.88,"bereinigt"
"2020-01-13T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",5.86,"bereinigt"
"2020-01-13T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",3.03,"bereinigt"
"2020-01-13T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-13T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",974.36,"bereinigt"
"2020-01-13T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.16,"bereinigt"
"2020-01-13T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",2.42,"bereinigt"
"2020-01-13T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-13T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",972.04,"bereinigt"
"2020-01-13T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",5.92,"bereinigt"
"2020-01-14T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.91,"bereinigt"
"2020-01-14T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-14T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.86,"bereinigt"
"2020-01-14T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",74.74,"bereinigt"
"2020-01-14T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.71,"bereinigt"
"2020-01-14T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.74,"bereinigt"
"2020-01-14T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-14T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",970.66,"bereinigt"
"2020-01-14T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.12,"bereinigt"
"2020-01-14T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.51,"bereinigt"
"2020-01-14T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-14T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",968.3,"bereinigt"
"2020-01-14T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.73,"bereinigt"
"2020-01-15T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.48,"bereinigt"
"2020-01-15T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-15T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.64,"bereinigt"
"2020-01-15T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",76.04,"bereinigt"
"2020-01-15T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",11.99,"bereinigt"
